State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
11,0,0,0,0,0,STATE,SIKKIM,Total,129006,610577,323070,287507,64111,32761,31350,28275,14454,13821,206360,105261,101099,444952,251269,193683,165625,71801,93824,308138,194358,113780,230397,160513,69884,82707,50586,32121,11582,7145,4437,2888,2056,832,133220,100726,32494,77741,33845,43896,34694,12741,21953,14404,5738,8666,2255,891,1364,26388,14475,11913,54465,23668,30797,22306,7911,14395,10322,4001,6321,1485,582,903,20352,11174,9178,23276,10177,13099,12388,4830,7558,4082,1737,2345,770,309,461,6036,3301,2735,302439,128712,173727
11,0,0,0,0,0,STATE,SIKKIM,Rural,93288,456999,242797,214202,49218,25061,24157,20335,10496,9839,167146,86059,81087,321930,184245,137685,135069,58552,76517,243785,148186,95599,173682,119014,54668,82111,50224,31887,11154,6858,4296,2155,1474,681,78262,60458,17804,70103,29172,40931,34421,12645,21776,13726,5439,8287,1892,682,1210,20064,10406,9658,48012,19719,28293,22080,7835,14245,9815,3773,6042,1202,410,792,14915,7701,7214,22091,9453,12638,12341,4810,7531,3911,1666,2245,690,272,418,5149,2705,2444,213214,94611,118603
11,0,0,0,0,0,STATE,SIKKIM,Urban,35718,153578,80273,73305,14893,7700,7193,7940,3958,3982,39214,19202,20012,123022,67024,55998,30556,13249,17307,64353,46172,18181,56715,41499,15216,596,362,234,428,287,141,733,582,151,54958,40268,14690,7638,4673,2965,273,96,177,678,299,379,363,209,154,6324,4069,2255,6453,3949,2504,226,76,150,507,228,279,283,172,111,5437,3473,1964,1185,724,461,47,20,27,171,71,100,80,37,43,887,596,291,89225,34101,55124
12,0,0,0,0,0,STATE,ARUNACHAL PRADESH,Total,270577,1383727,713912,669815,212188,107624,104564,0,0,0,951821,468390,483431,766005,439868,326137,617722,274044,343678,587657,350273,237384,478721,301109,177612,248120,130008,118112,20259,11921,8338,4728,2772,1956,205614,156408,49206,108936,49164,59772,54603,22855,31748,15912,6456,9456,3637,1376,2261,34784,18477,16307,89305,40342,48963,43835,18493,25342,12948,5097,7851,2614,983,1631,29908,15769,14139,19631,8822,10809,10768,4362,6406,2964,1359,1605,1023,393,630,4876,2708,2168,796070,363639,432431
12,0,0,0,0,0,STATE,ARUNACHAL PRADESH,Rural,200210,1066358,546011,520347,172289,87241,85048,0,0,0,789846,390625,399221,535902,309390,226512,530456,236621,293835,470315,264790,205525,377388,223929,153459,244637,127925,116712,18776,10997,7779,3371,1929,1442,110604,83078,27526,92927,40861,52066,53500,22342,31158,14782,5865,8917,2665,1011,1654,21980,11643,10337,75099,33075,42024,42899,18050,24849,12046,4639,7407,1775,680,1095,18379,9706,8673,17828,7786,10042,10601,4292,6309,2736,1226,1510,890,331,559,3601,1937,1664,596043,281221,314822
12,0,0,0,0,0,STATE,ARUNACHAL PRADESH,Urban,70367,317369,167901,149468,39899,20383,19516,0,0,0,161975,77765,84210,230103,130478,99625,87266,37423,49843,117342,85483,31859,101333,77180,24153,3483,2083,1400,1483,924,559,1357,843,514,95010,73330,21680,16009,8303,7706,1103,513,590,1130,591,539,972,365,607,12804,6834,5970,14206,7267,6939,936,443,493,902,458,444,839,303,536,11529,6063,5466,1803,1036,767,167,70,97,228,133,95,133,62,71,1275,771,504,200027,82418,117609
13,0,0,0,0,0,STATE,NAGALAND,Total,396002,1978502,1024649,953853,291071,149785,141286,0,0,0,1710973,866027,844946,1342434,723957,618477,636068,300692,335376,974122,547357,426765,741179,442204,298975,420379,208221,212158,22571,12899,9672,9525,4731,4794,288704,216353,72351,232943,105153,127790,117323,51233,66090,40391,18958,21433,13313,4752,8561,61916,30210,31706,141978,61126,80852,65525,26077,39448,22788,10209,12579,8339,2750,5589,45326,22090,23236,90965,44027,46938,51798,25156,26642,17603,8749,8854,4974,2002,2972,16590,8120,8470,1004380,477292,527088
13,0,0,0,0,0,STATE,NAGALAND,Rural,277491,1407536,725472,682064,217482,112483,104999,0,0,0,1306838,665351,641487,896663,484021,412642,510873,241451,269422,760360,403912,356448,567674,316384,251290,408523,202643,205880,19970,11260,8710,6588,3055,3533,132593,99426,33167,192686,87528,105158,108260,47916,60344,35707,16873,18834,9671,3607,6064,39048,19132,19916,111318,47710,63608,59348,23988,35360,19379,8736,10643,5599,1844,3755,26992,13142,13850,81368,39818,41550,48912,23928,24984,16328,8137,8191,4072,1763,2309,12056,5990,6066,647176,321560,325616
13,0,0,0,0,0,STATE,NAGALAND,Urban,118511,570966,299177,271789,73589,37302,36287,0,0,0,404135,200676,203459,445771,239936,205835,125195,59241,65954,213762,143445,70317,173505,125820,47685,11856,5578,6278,2601,1639,962,2937,1676,1261,156111,116927,39184,40257,17625,22632,9063,3317,5746,4684,2085,2599,3642,1145,2497,22868,11078,11790,30660,13416,17244,6177,2089,4088,3409,1473,1936,2740,906,1834,18334,8948,9386,9597,4209,5388,2886,1228,1658,1275,612,663,902,239,663,4534,2130,2404,357204,155732,201472
14,0,0,0,0,0,STATE,MANIPUR,Total,557859,2855794,1438586,1417208,375357,194484,180873,97328,48863,48465,1167422,588279,579143,1908476,1039858,868618,947318,398728,548590,1304610,739408,565202,974163,615135,359028,466768,281162,185606,45609,24534,21075,45924,14009,31915,415862,295430,120432,330447,124273,206174,107263,45947,61316,69309,21498,47811,45432,6861,38571,108443,49967,58476,260231,98584,161647,82008,34783,47225,51290,15744,35546,35389,5180,30209,91544,42877,48667,70216,25689,44527,25255,11164,14091,18019,5754,12265,10043,1681,8362,16899,7090,9809,1551184,699178,852006
14,0,0,0,0,0,STATE,MANIPUR,Rural,385520,2021640,1026884,994756,273946,142443,131503,47849,24275,23574,1055808,533856,521952,1282859,710134,572725,738781,316750,422031,959161,534085,425076,713482,442482,271000,428481,252929,175552,36208,19135,17073,28407,8467,19940,220386,161951,58435,245679,91603,154076,95056,40279,54777,54436,16662,37774,29111,4228,24883,67076,30434,36642,192573,71800,120773,72480,30420,42060,40949,12224,28725,22510,3184,19326,56634,25972,30662,53106,19803,33303,22576,9859,12717,13487,4438,9049,6601,1044,5557,10442,4462,5980,1062479,492799,569680
14,0,0,0,0,0,STATE,MANIPUR,Urban,172339,834154,411702,422452,101411,52041,49370,49479,24588,24891,111614,54423,57191,625617,329724,295893,208537,81978,126559,345449,205323,140126,260681,172653,88028,38287,28233,10054,9401,5399,4002,17517,5542,11975,195476,133479,61997,84768,32670,52098,12207,5668,6539,14873,4836,10037,16321,2633,13688,41367,19533,21834,67658,26784,40874,9528,4363,5165,10341,3520,6821,12879,1996,10883,34910,16905,18005,17110,5886,11224,2679,1305,1374,4532,1316,3216,3442,637,2805,6457,2628,3829,488705,206379,282326
15,0,0,0,0,0,STATE,MIZORAM,Total,222853,1097206,555339,541867,168531,85561,82970,1218,807,411,1036115,516294,519821,848175,438529,409646,249031,116810,132221,486705,290740,195965,415030,263305,151725,202514,121598,80916,26464,16601,9863,5459,3109,2350,180593,121997,58596,71675,27435,44240,27089,7884,19205,15323,5887,9436,2393,785,1608,26870,12879,13991,53724,19626,34098,19136,4954,14182,11554,4196,7358,1831,595,1236,21203,9881,11322,17951,7809,10142,7953,2930,5023,3769,1691,2078,562,190,372,5667,2998,2669,610501,264599,345902
15,0,0,0,0,0,STATE,MIZORAM,Rural,105812,525435,269135,256300,93384,47489,45895,298,209,89,507467,257987,249480,363334,195400,167934,162101,73735,88366,252382,145091,107291,217824,134888,82936,170274,101909,68365,12448,7572,4876,1556,999,557,33546,24408,9138,34558,10203,24355,21920,5904,16016,6637,1983,4654,946,246,700,5055,2070,2985,25143,6745,18398,15295,3530,11765,5123,1424,3699,676,154,522,4049,1637,2412,9415,3458,5957,6625,2374,4251,1514,559,955,270,92,178,1006,433,573,273053,124044,149009
15,0,0,0,0,0,STATE,MIZORAM,Urban,117041,571771,286204,285567,75147,38072,37075,920,598,322,528648,258307,270341,484841,243129,241712,86930,43075,43855,234323,145649,88674,197206,128417,68789,32240,19689,12551,14016,9029,4987,3903,2110,1793,147047,97589,49458,37117,17232,19885,5169,1980,3189,8686,3904,4782,1447,539,908,21815,10809,11006,28581,12881,15700,3841,1424,2417,6431,2772,3659,1155,441,714,17154,8244,8910,8536,4351,4185,1328,556,772,2255,1132,1123,292,98,194,4661,2565,2096,337448,140555,196893
16,0,0,0,0,0,STATE,TRIPURA,Total,855556,3673917,1874376,1799541,458014,234008,224006,654918,334370,320548,1166813,588327,578486,2804783,1501369,1303414,869134,373007,496127,1469521,1045326,424195,1077019,887881,189138,246707,210117,36590,201863,156850,45013,19296,12814,6482,609153,508100,101053,392502,157445,235057,49240,18751,30489,151755,57256,94499,22200,4671,17529,169307,76767,92540,298562,126729,171833,40681,15605,25076,125005,47995,77010,16244,3405,12839,116632,59724,56908,93940,30716,63224,8559,3146,5413,26750,9261,17489,5956,1266,4690,52675,17043,35632,2204396,829050,1375346
16,0,0,0,0,0,STATE,TRIPURA,Rural,616582,2712464,1387173,1325291,365309,186400,178909,437993,224498,213495,1117566,563908,553658,1992773,1081503,911270,719691,305670,414021,1116076,767767,348309,776583,637023,139560,237861,201981,35880,191928,148647,43281,14424,9389,5035,332370,277006,55364,339493,130744,208749,47868,17970,29898,146994,54711,92283,18871,3748,15123,125760,54315,71445,258529,104727,153802,39459,14917,24542,121257,45946,75311,13835,2723,11112,83978,41141,42837,80964,26017,54947,8409,3053,5356,25737,8765,16972,5036,1025,4011,41782,13174,28608,1596388,619406,976982
16,0,0,0,0,0,STATE,TRIPURA,Urban,238974,961453,487203,474250,92705,47608,45097,216925,109872,107053,49247,24419,24828,812010,419866,392144,149443,67337,82106,353445,277559,75886,300436,250858,49578,8846,8136,710,9935,8203,1732,4872,3425,1447,276783,231094,45689,53009,26701,26308,1372,781,591,4761,2545,2216,3329,923,2406,43547,22452,21095,40033,22002,18031,1222,688,534,3748,2049,1699,2409,682,1727,32654,18583,14071,12976,4699,8277,150,93,57,1013,496,517,920,241,679,10893,3869,7024,608008,209644,398364
17,0,0,0,0,0,STATE,MEGHALAYA,Total,548059,2966889,1491832,1475057,568536,288646,279890,17355,9157,8198,2555861,1269728,1286133,1785005,913879,871126,1181884,577953,603931,1185619,703709,481910,921575,585520,336055,411270,243805,167465,114642,70460,44182,11969,6459,5510,383694,264796,118898,264044,118189,145855,83405,33525,49880,83722,35882,47840,8519,2941,5578,88398,45841,42557,209361,93536,115825,65580,25635,39945,66049,28469,37580,6048,2113,3935,71684,37319,34365,54683,24653,30030,17825,7890,9935,17673,7413,10260,2471,828,1643,16714,8522,8192,1781270,788123,993147
17,0,0,0,0,0,STATE,MEGHALAYA,Rural,430573,2371439,1194260,1177179,490592,248751,241841,11573,6086,5487,2136891,1070557,1066334,1315154,675636,639518,1056285,518624,537661,973458,561812,411646,730959,455430,275529,404202,239600,164602,111422,68258,43164,10712,5628,5084,204623,141944,62679,242499,106382,136117,82118,33016,49102,80801,34362,46439,8042,2719,5323,71538,36285,35253,190995,83435,107560,64462,25204,39258,63863,27360,36503,5688,1948,3740,56982,28923,28059,51504,22947,28557,17656,7812,9844,16938,7002,9936,2354,771,1583,14556,7362,7194,1397981,632448,765533
17,0,0,0,0,0,STATE,MEGHALAYA,Urban,117486,595450,297572,297878,77944,39895,38049,5782,3071,2711,418970,199171,219799,469851,238243,231608,125599,59329,66270,212161,141897,70264,190616,130090,60526,7068,4205,2863,3220,2202,1018,1257,831,426,179071,122852,56219,21545,11807,9738,1287,509,778,2921,1520,1401,477,222,255,16860,9556,7304,18366,10101,8265,1118,431,687,2186,1109,1077,360,165,195,14702,8396,6306,3179,1706,1473,169,78,91,735,411,324,117,57,60,2158,1160,998,383289,155675,227614
18,0,0,0,0,0,STATE,ASSAM,Total,6406471,31205576,15939443,15266133,4638130,2363485,2274645,2231321,1145314,1086007,3884371,1957005,1927366,19177977,10568639,8609338,12027599,5370804,6656795,11969690,8541560,3428130,8687123,7034642,1652481,3138554,2698384,440170,903294,705306,197988,242071,146566,95505,4403204,3484386,918818,3282567,1506918,1775649,923073,401379,521694,942052,423904,518148,249250,59178,190072,1168192,622457,545735,2697230,1251614,1445616,745491,328113,417378,772239,351027,421212,195248,46412,148836,984252,526062,458190,585337,255304,330033,177582,73266,104316,169813,72877,96936,54002,12766,41236,183940,96395,87545,19235886,7397883,11838003
18,0,0,0,0,0,STATE,ASSAM,Rural,5420877,26807034,13678989,13128045,4187323,2131586,2055737,1825761,938664,887097,3665405,1847326,1818079,15685436,8706193,6979243,11121598,4972796,6148802,10368283,7257852,3110431,7311015,5880174,1430841,3106999,2670579,436420,885561,691056,194505,205677,121780,83897,3112778,2396759,716019,3057268,1377678,1679590,911908,395643,516265,928514,416117,512397,228539,52437,176102,988307,513481,474826,2502119,1140305,1361814,735553,323001,412552,761297,344666,416631,179321,41252,138069,825948,431386,394562,555149,237373,317776,176355,72642,103713,167217,71451,95766,49218,11185,38033,162359,82095,80264,16438751,6421137,10017614
18,0,0,0,0,0,STATE,ASSAM,Urban,985594,4398542,2260454,2138088,450807,231899,218908,405560,206650,198910,218966,109679,109287,3492541,1862446,1630095,906001,398008,507993,1601407,1283708,317699,1376108,1154468,221640,31555,27805,3750,17733,14250,3483,36394,24786,11608,1290426,1087627,202799,225299,129240,96059,11165,5736,5429,13538,7787,5751,20711,6741,13970,179885,108976,70909,195111,111309,83802,9938,5112,4826,10942,6361,4581,15927,5160,10767,158304,94676,63628,30188,17931,12257,1227,624,603,2596,1426,1170,4784,1581,3203,21581,14300,7281,2797135,976746,1820389
19,0,0,0,0,0,STATE,WEST BENGAL,Total,20380315,91276115,46809027,44467088,10581466,5410396,5171070,21463270,11003304,10459966,5296953,2649974,2646979,61538281,33818810,27719471,29737834,12990217,16747617,34756355,26716047,8040308,25686630,21678279,4008351,4203767,3940399,263368,5869498,4943086,926412,1518128,869039,649089,14095237,11925755,2169482,9069725,5037768,4031957,912921,559642,353279,4319344,2509728,1809616,945996,245644,700352,2891464,1722754,1168710,7048294,4015867,3032427,698206,440464,257742,3300617,1982485,1318132,714472,190430,524042,2334999,1402488,932511,2021431,1021901,999530,214715,119178,95537,1018727,527243,491484,231524,55214,176310,556465,320266,236199,56519760,20092980,36426780
19,0,0,0,0,0,STATE,WEST BENGAL,Rural,13813165,62183113,31844945,30338168,7820710,3992655,3828055,17095107,8764294,8330813,4855115,2428057,2427058,39213779,21848197,17365582,22969334,9996748,12972586,24082481,18211180,5871301,16489485,14019915,2469570,4081481,3830056,251425,5640355,4744931,895424,875091,470280,404811,5892558,4974648,917910,7592996,4191265,3401731,871062,538226,332836,4203461,2427668,1775793,731437,176962,554475,1787036,1048409,738627,5825830,3317706,2508124,661134,421969,239165,3209279,1916691,1292588,544103,135360,408743,1411314,843686,567628,1767166,873559,893607,209928,116257,93671,994182,510977,483205,187334,41602,145732,375722,204723,170999,38100632,13633765,24466867
19,0,0,0,0,0,STATE,WEST BENGAL,Urban,6567150,29093002,14964082,14128920,2760756,1417741,1343015,4368163,2239010,2129153,441838,221917,219921,22324502,11970613,10353889,6768500,2993469,3775031,10673874,8504867,2169007,9197145,7658364,1538781,122286,110343,11943,229143,198155,30988,643037,398759,244278,8202679,6951107,1251572,1476729,846503,630226,41859,21416,20443,115883,82060,33823,214559,68682,145877,1104428,674345,430083,1222464,698161,524303,37072,18495,18577,91338,65794,25544,170369,55070,115299,923685,558802,364883,254265,148342,105923,4787,2921,1866,24545,16266,8279,44190,13612,30578,180743,115543,65200,18419128,6459215,11959913
20,0,0,0,0,0,STATE,JHARKHAND,Total,6254781,32988134,16930315,16057819,5389495,2767147,2622348,3985644,2043458,1942186,8645042,4315407,4329635,18328069,10882519,7445550,14660065,6047796,8612269,13098274,8424769,4673505,6818595,5234442,1584153,2001362,1443959,557403,1238774,829585,409189,249048,142652,106396,3329411,2818246,511165,6279679,3190327,3089352,1813470,847223,966247,3197278,1512115,1685163,206114,82823,123291,1062817,748166,314651,4953539,2644953,2308586,1413020,692572,720448,2520760,1256606,1264154,156142,66038,90104,863617,629737,233880,1326140,545374,780766,400450,154651,245799,676518,255509,421009,49972,16785,33187,199200,118429,80771,19889860,8505546,11384314
20,0,0,0,0,0,STATE,JHARKHAND,Rural,4729369,25055073,12776486,12278587,4367507,2231494,2136013,3152863,1612513,1540350,7868150,3928323,3939827,12643078,7682731,4960347,12411995,5093755,7318240,10777152,6484142,4293010,4886840,3563422,1323418,1966656,1415112,551544,1197462,796592,400870,193078,101012,92066,1529644,1250706,278938,5890312,2920720,2969592,1785958,832633,953325,3141840,1480047,1661793,186276,72399,113877,776238,535641,240597,4630514,2415831,2214683,1392182,680304,711878,2478027,1230214,1247813,140149,57300,82849,620156,448013,172143,1259798,504889,754909,393776,152329,241447,663813,249833,413980,46127,15099,31028,156082,87628,68454,14277921,6292344,7985577
20,0,0,0,0,0,STATE,JHARKHAND,Urban,1525412,7933061,4153829,3779232,1021988,535653,486335,832781,430945,401836,776892,387084,389808,5684991,3199788,2485203,2248070,954041,1294029,2321122,1940627,380495,1931755,1671020,260735,34706,28847,5859,41312,32993,8319,55970,41640,14330,1799767,1567540,232227,389367,269607,119760,27512,14590,12922,55438,32068,23370,19838,10424,9414,286579,212525,74054,323025,229122,93903,20838,12268,8570,42733,26392,16341,15993,8738,7255,243461,181724,61737,66342,40485,25857,6674,2322,4352,12705,5676,7029,3845,1686,2159,43118,30801,12317,5611939,2213202,3398737
21,0,0,0,0,0,STATE,ODISHA,Total,9637820,41974218,21212136,20762082,5273194,2716497,2556697,7188463,3617808,3570655,9590756,4727732,4863024,26742595,15089681,11652914,15231623,6122455,9109168,17541589,11902655,5638934,10707543,8794413,1913130,3279769,2924537,355232,2420540,1746831,673709,441486,315176,126310,4565748,3807869,757879,6834046,3108242,3725804,824220,450813,373407,4319453,1735005,2584448,341594,124039,217555,1348779,798385,550394,5597143,2610626,2986517,667541,380032,287509,3576371,1468309,2108062,266179,99662,166517,1087052,662623,424429,1236903,497616,739287,156679,70781,85898,743082,266696,476386,75415,24377,51038,261727,135762,125965,24432629,9309481,15123148
21,0,0,0,0,0,STATE,ODISHA,Rural,8089987,34970562,17586203,17384359,4525870,2325832,2200038,6218642,3127719,3090923,8994967,4428522,4566445,21377915,12154552,9223363,13592647,5431651,8160996,15103714,9941574,5162140,8623947,7045991,1577956,3219409,2869857,349552,2355909,1697973,657936,345719,238211,107508,2702910,2239950,462960,6479767,2895583,3584184,810942,442804,368138,4263034,1706770,2556264,313572,109696,203876,1092219,636313,455906,5294257,2426755,2867502,655568,372777,282791,3531011,1444381,2086630,243733,87888,155845,863945,521709,342236,1185510,468828,716682,155374,70027,85347,732023,262389,469634,69839,21808,48031,228274,114604,113670,19866848,7644629,12222219
21,0,0,0,0,0,STATE,ODISHA,Urban,1547833,7003656,3625933,3377723,747324,390665,356659,969821,490089,479732,595789,299210,296579,5364680,2935129,2429551,1638976,690804,948172,2437875,1961081,476794,2083596,1748422,335174,60360,54680,5680,64631,48858,15773,95767,76965,18802,1862838,1567919,294919,354279,212659,141620,13278,8009,5269,56419,28235,28184,28022,14343,13679,256560,162072,94488,302886,183871,119015,11973,7255,4718,45360,23928,21432,22446,11774,10672,223107,140914,82193,51393,28788,22605,1305,754,551,11059,4307,6752,5576,2569,3007,33453,21158,12295,4565781,1664852,2900929
22,0,0,0,0,0,STATE,CHHATTISGARH,Total,5650724,25545198,12832895,12712303,3661689,1859935,1801754,3274269,1641738,1632531,7822902,3873191,3949711,15379922,8807893,6572029,10165276,4025002,6140274,12180225,7133866,5046359,8241714,5597454,2644260,3038094,2057774,980320,2505999,1390758,1115241,136696,91724,44972,2560925,2057198,503727,3938511,1536412,2402099,966702,366251,600451,2585883,953791,1632092,50935,21632,29303,334991,194738,140253,3177960,1256033,1921927,757656,285664,471992,2134607,803768,1330839,39046,16700,22346,246651,149901,96750,760551,280379,480172,209046,80587,128459,451276,150023,301253,11889,4932,6957,88340,44837,43503,13364973,5699029,7665944
22,0,0,0,0,0,STATE,CHHATTISGARH,Rural,4365568,19607961,9797426,9810535,2924941,1479586,1445355,2511949,1258559,1253390,7231082,3577134,3653948,11008956,6403012,4605944,8599005,3394414,5204591,10063114,5522258,4540856,6365271,4114031,2251240,2957171,1998073,959098,2392521,1324306,1068215,79777,51647,28130,935802,740005,195797,3697843,1408227,2289616,943894,356557,587337,2502299,918942,1583357,42279,17554,24725,209371,115174,94197,2983202,1151107,1832095,739862,277855,462007,2065242,774024,1291218,32239,13458,18781,145859,85770,60089,714641,257120,457521,204032,78702,125330,437057,144918,292139,10040,4096,5944,63512,29404,34108,9544847,4275168,5269679
22,0,0,0,0,0,STATE,CHHATTISGARH,Urban,1285156,5937237,3035469,2901768,736748,380349,356399,762320,383179,379141,591820,296057,295763,4370966,2404881,1966085,1566271,630588,935683,2117111,1611608,505503,1876443,1483423,393020,80923,59701,21222,113478,66452,47026,56919,40077,16842,1625123,1317193,307930,240668,128185,112483,22808,9694,13114,83584,34849,48735,8656,4078,4578,125620,79564,46056,194758,104926,89832,17794,7809,9985,69365,29744,39621,6807,3242,3565,100792,64131,36661,45910,23259,22651,5014,1885,3129,14219,5105,9114,1849,836,1013,24828,15433,9395,3820126,1423861,2396265
23,0,0,0,0,0,STATE,MADHYA PRADESH,Total,15093256,72626809,37612306,35014503,10809395,5636172,5173223,11342320,5908638,5433682,15316784,7719404,7597380,42851169,25174328,17676841,29775640,12437978,17337662,31574133,20146970,11427163,22702119,16362065,6340054,8214993,6038749,2176244,6630821,4027711,2603110,647565,396320,251245,7208740,5899285,1309455,8872014,3784905,5087109,1629446,552315,1077131,5561446,2282946,3278500,311694,114728,196966,1369428,834916,534512,7309526,3146582,4162944,1292775,425808,866967,4670315,1945081,2725234,243053,89797,153256,1103383,685896,417487,1562488,638323,924165,336671,126507,210164,891131,337865,553266,68641,24931,43710,266045,149020,117025,41052676,17465336,23587340
23,0,0,0,0,0,STATE,MADHYA PRADESH,Rural,11080278,52557404,27149388,25408016,8325731,4329993,3995738,8268002,4311490,3956512,14276874,7187769,7089105,28281986,17054982,11227004,24275418,10094406,14181012,24715198,14741977,9973221,16729558,11488183,5241375,7885302,5765124,2120178,6303841,3807102,2496739,348081,198997,149084,2192334,1716960,475374,7985640,3253794,4731846,1588509,535311,1053198,5387362,2202565,3184797,248091,87348,160743,761678,428570,333108,6563542,2695259,3868283,1257790,410936,846854,4525061,1876356,2648705,190853,66946,123907,589838,341021,248817,1422098,558535,863563,330719,124375,206344,862301,326209,536092,57238,20402,36836,171840,87549,84291,27842206,12407411,15434795
23,0,0,0,0,0,STATE,MADHYA PRADESH,Urban,4012978,20069405,10462918,9606487,2483664,1306179,1177485,3074318,1597148,1477170,1039910,531635,508275,14569183,8119346,6449837,5500222,2343572,3156650,6858935,5404993,1453942,5972561,4873882,1098679,329691,273625,56066,326980,220609,106371,299484,197323,102161,5016406,4182325,834081,886374,531111,355263,40937,17004,23933,174084,80381,93703,63603,27380,36223,607750,406346,201404,745984,451323,294661,34985,14872,20113,145254,68725,76529,52200,22851,29349,513545,344875,168670,140390,79788,60602,5952,2132,3820,28830,11656,17174,11403,4529,6874,94205,61471,32734,13210470,5057925,8152545
24,0,0,0,0,0,STATE,GUJARAT,Total,12248428,60439692,31491260,28948432,7777262,4115384,3661878,4074447,2110331,1964116,8917174,4501389,4415785,41093358,23474873,17618485,19346334,8016387,11329947,24767747,18000914,6766833,20365374,16567695,3797679,4746956,4075047,671909,4491751,3008961,1482790,252213,182101,70112,10874454,9301586,1572868,4402373,1433219,2969154,700544,169402,531142,2347664,640630,1707034,91786,28460,63326,1262379,594727,667652,3930530,1249781,2680749,615442,142388,473054,2111998,561858,1550140,77737,23957,53780,1125353,521578,603775,471843,183438,288405,85102,27014,58088,235666,78772,156894,14049,4503,9546,137026,73149,63877,35671945,13490346,22181599
24,0,0,0,0,0,STATE,GUJARAT,Rural,6773558,34694609,17799159,16895450,4824903,2521455,2303448,2281573,1176107,1105466,8021848,4042691,3979157,21420842,12467643,8953199,13273767,5331516,7942251,15570092,10171584,5398508,11878120,9141339,2736781,4571337,3919258,652079,4207186,2799674,1407512,116105,88193,27912,2983492,2334214,649278,3691972,1030245,2661727,680120,160255,519865,2274109,611948,1662161,51799,16731,35068,685944,241311,444633,3304468,894380,2410088,596183,133743,462440,2048530,536950,1511580,44673,14189,30484,615082,209498,405584,387504,135865,251639,83937,26512,57425,225579,74998,150581,7126,2542,4584,70862,31813,39049,19124517,7627575,11496942
24,0,0,0,0,0,STATE,GUJARAT,Urban,5474870,25745083,13692101,12052982,2952359,1593929,1358430,1792874,934224,858650,895326,458698,436628,19672516,11007230,8665286,6072567,2684871,3387696,9197655,7829330,1368325,8487254,7426356,1060898,175619,155789,19830,284565,209287,75278,136108,93908,42200,7890962,6967372,923590,710401,402974,307427,20424,9147,11277,73555,28682,44873,39987,11729,28258,576435,353416,223019,626062,355401,270661,19259,8645,10614,63468,24908,38560,33064,9768,23296,510271,312080,198191,84339,47573,36766,1165,502,663,10087,3774,6313,6923,1961,4962,66164,41336,24828,16547428,5862771,10684657
25,0,0,0,0,0,STATE,DAMAN & DIU,Total,60956,243247,150301,92946,26934,14144,12790,6124,3151,2973,15363,7771,7592,188406,124643,63763,54841,25658,29183,121271,107434,13837,116435,104614,11821,1649,1300,349,491,272,219,380,295,85,113915,102747,11168,4836,2820,2016,667,192,475,281,90,191,304,37,267,3584,2501,1083,3575,1923,1652,593,169,424,226,72,154,235,30,205,2521,1652,869,1261,897,364,74,23,51,55,18,37,69,7,62,1063,849,214,121976,42867,79109
25,0,0,0,0,0,STATE,DAMAN & DIU,Rural,12744,60396,32395,28001,7438,3849,3589,2167,1108,1059,7617,3843,3774,43089,25529,17560,17307,6866,10441,23303,18862,4441,21435,18131,3304,1053,777,276,321,134,187,119,94,25,19942,17126,2816,1868,731,1137,601,161,440,230,59,171,213,18,195,824,493,331,1499,561,938,533,144,389,189,50,139,153,13,140,624,354,270,369,170,199,68,17,51,41,9,32,60,5,55,200,139,61,37093,13533,23560
