State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
3,0,0,0,0,0,STATE,PUNJAB,Rural,3358113,17344192,9093476,8250716,1945502,1055297,890205,6496986,3396329,3100657,0,0,0,10997657,6158807,4838850,6346535,2934669,3411866,6179199,4995819,1183380,5107024,4417839,689185,1719356,1613978,105378,1078849,936572,142277,172769,114354,58415,2136050,1752935,383115,1072175,577980,494195,120645,55660,64985,395883,209593,186290,62482,22875,39607,493165,289852,203313,822598,461224,361374,89333,44854,44479,289772,165371,124401,46964,16882,30082,396529,234117,162412,249577,116756,132821,31312,10806,20506,106111,44222,61889,15518,5993,9525,96636,55735,40901,11164993,4097657,7067336
3,0,0,0,0,0,STATE,PUNJAB,Urban,2154958,10399146,5545989,4853157,1130717,610697,520020,2363193,1243546,1119647,0,0,0,7709480,4277249,3432231,2689666,1268740,1420926,3718163,3078338,639825,3343912,2846792,497120,84504,77799,6705,89172,77407,11765,127891,101617,26274,3042345,2589969,452376,374251,231546,142705,10006,5922,4084,24551,15873,8678,22818,10448,12370,316876,199303,117573,327817,200302,127515,9516,5600,3916,19486,12923,6563,18523,8380,10143,280292,173399,106893,46434,31244,15190,490,322,168,5065,2950,2115,4295,2068,2227,36584,25904,10680,6680983,2467651,4213332
4,0,0,0,0,0,STATE,CHANDIGARH,Total,241173,1055450,580663,474787,119434,63536,55898,199086,106356,92730,0,0,0,805438,465346,340092,250012,115317,134695,404136,328159,75977,385929,317190,68739,2169,1906,263,1396,1166,230,4219,3278,941,378145,310840,67305,18207,10969,7238,409,208,201,291,209,82,580,209,371,16927,10343,6584,15188,9057,6131,386,196,190,246,183,63,422,151,271,14134,8527,5607,3019,1912,1107,23,12,11,45,26,19,158,58,100,2793,1816,977,651314,252504,398810
4,0,0,0,0,0,STATE,CHANDIGARH,Rural,7140,28991,17150,11841,4270,2282,1988,4974,2776,2198,0,0,0,19961,12752,7209,9030,4398,4632,12350,10664,1686,11683,10356,1327,401,378,23,138,113,25,105,74,31,11039,9791,1248,667,308,359,56,28,28,30,9,21,12,4,8,569,267,302,470,209,261,48,23,25,16,8,8,9,3,6,397,175,222,197,99,98,8,5,3,14,1,13,3,1,2,172,92,80,16641,6486,10155
4,0,0,0,0,0,STATE,CHANDIGARH,Urban,234033,1026459,563513,462946,115164,61254,53910,194112,103580,90532,0,0,0,785477,452594,332883,240982,110919,130063,391786,317495,74291,374246,306834,67412,1768,1528,240,1258,1053,205,4114,3204,910,367106,301049,66057,17540,10661,6879,353,180,173,261,200,61,568,205,363,16358,10076,6282,14718,8848,5870,338,173,165,230,175,55,413,148,265,13737,8352,5385,2822,1813,1009,15,7,8,31,25,6,155,57,98,2621,1724,897,634673,246018,388655
5,0,0,0,0,0,STATE,UTTARAKHAND,Total,2056975,10086292,5137773,4948519,1355814,717199,638615,1892516,968586,923930,291903,148669,143234,6880953,3863708,3017245,3205339,1274065,1931274,3872275,2551921,1320354,2870624,2070760,799864,1045674,545561,500113,247256,196375,50881,77040,54101,22939,1500654,1274723,225931,1001651,481161,520490,534749,189851,344898,156045,90165,65880,37272,15190,22082,273585,185955,87630,756840,373473,383367,383359,134058,249301,120549,73027,47522,28304,11744,16560,224628,154644,69984,244811,107688,137123,151390,55793,95597,35496,17138,18358,8968,3446,5522,48957,31311,17646,6214017,2585852,3628165
5,0,0,0,0,0,STATE,UTTARAKHAND,Rural,1425086,7036954,3519042,3517912,990776,521792,468984,1496665,761103,735562,264819,134691,130128,4614050,2596171,2017879,2422904,922871,1500033,2885533,1726674,1158859,1997332,1322523,674809,1027923,532558,495365,225529,177948,47581,46685,30064,16621,697195,581953,115242,888201,404151,484050,530707,188063,342644,147312,83961,63351,30255,11832,18423,179927,120295,59632,658831,306695,352136,379911,132488,247423,113491,67896,45595,22695,8966,13729,142734,97345,45389,229370,97456,131914,150796,55575,95221,33821,16065,17756,7560,2866,4694,37193,22950,14243,4151421,1792368,2359053
5,0,0,0,0,0,STATE,UTTARAKHAND,Urban,631889,3049338,1618731,1430607,365038,195407,169631,395851,207483,188368,27084,13978,13106,2266903,1267537,999366,782435,351194,431241,986742,825247,161495,873292,748237,125055,17751,13003,4748,21727,18427,3300,30355,24037,6318,803459,692770,110689,113450,77010,36440,4042,1788,2254,8733,6204,2529,7017,3358,3659,93658,65660,27998,98009,66778,31231,3448,1570,1878,7058,5131,1927,5609,2778,2831,81894,57299,24595,15441,10232,5209,594,218,376,1675,1073,602,1408,580,828,11764,8361,3403,2062596,793484,1269112
6,0,0,0,0,0,STATE,HARYANA,Total,4857524,25351462,13494734,11856728,3380721,1843109,1537612,5113615,2709656,2403959,0,0,0,16598988,9794067,6804921,8752474,3700667,5051807,8916508,6806636,2109872,7015283,5860600,1154683,1963311,1632783,330528,891273,718444,172829,201375,159666,41709,3959324,3349707,609617,1901225,946036,955189,517490,156339,361151,636860,322797,314063,60905,26867,34038,685970,440033,245937,1510526,769060,741466,384678,112161,272517,504135,267790,236345,48022,21366,26656,573691,367743,205948,390699,176976,213723,132812,44178,88634,132725,55007,77718,12883,5501,7382,112279,72290,39989,16434954,6688098,9746856
6,0,0,0,0,0,STATE,HARYANA,Rural,3043756,16509359,8774006,7735353,2285112,1245090,1040022,3720109,1973294,1746815,0,0,0,10158442,6140099,4018343,6350917,2633907,3717010,6003112,4392214,1610898,4435805,3672588,763217,1893233,1571194,322039,808001,647625,160376,89013,64257,24756,1645558,1389512,256046,1567307,719626,847681,505364,150038,355326,597955,296275,301680,44980,17943,27037,419008,255370,163638,1229441,579576,649865,374539,106772,267767,472444,245743,226701,35300,14195,21105,347158,212866,134292,337866,140050,197816,130825,43266,87559,125511,50532,74979,9680,3748,5932,71850,42504,29346,10506247,4381792,6124455
6,0,0,0,0,0,STATE,HARYANA,Urban,1813768,8842103,4720728,4121375,1095609,598019,497590,1393506,736362,657144,0,0,0,6440546,3653968,2786578,2401557,1066760,1334797,2913396,2414422,498974,2579478,2188012,391466,70078,61589,8489,83272,70819,12453,112362,95409,16953,2313766,1960195,353571,333918,226410,107508,12126,6301,5825,38905,26522,12383,15925,8924,7001,266962,184663,82299,281085,189484,91601,10139,5389,4750,31691,22047,9644,12722,7171,5551,226533,154877,71656,52833,36926,15907,1987,912,1075,7214,4475,2739,3203,1753,1450,40429,29786,10643,5928707,2306306,3622401
7,0,0,0,0,0,STATE,NCT OF DELHI,Total,3435999,16787941,8987326,7800615,2012454,1075440,937014,2812309,1488800,1323509,0,0,0,12737767,7194856,5542911,4050174,1792470,2257704,5587049,4762026,825023,5307329,4562710,744619,27759,24225,3534,31474,25632,5842,169126,146069,23057,5078970,4366784,712186,279720,199316,80404,5639,3233,2406,8001,5720,2281,12726,6689,6037,253354,183674,69680,235250,166929,68321,5267,3011,2256,6430,4578,1852,10127,5468,4659,213426,153872,59554,44470,32387,12083,372,222,150,1571,1142,429,2599,1221,1378,39928,29802,10126,11200892,4225300,6975592
7,0,0,0,0,0,STATE,NCT OF DELHI,Rural,79574,419042,226321,192721,56716,31259,25457,82183,43818,38365,0,0,0,296600,174327,122273,122442,51994,70448,130227,111500,18727,118510,103568,14942,11842,10357,1485,6123,4835,1288,2660,2094,566,97885,86282,11603,11717,7932,3785,1772,923,849,2405,1638,767,624,264,360,6916,5107,1809,9599,6426,3173,1611,843,768,1850,1255,595,537,224,313,5601,4104,1497,2118,1506,612,161,80,81,555,383,172,87,40,47,1315,1003,312,288815,114821,173994
